name,stars,price,price_per_person,rating,opinions,distance_from_centre,free_cancellation,breakfast,city,date,adults,children
Hans Brinker Hostel Amsterdam,0,79,39.5,7.8,10202,1100.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Park Inn by Radisson Amsterdam City West,4,110,55.0,8.0,19946,3900.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Catalonia Vondel Amsterdam,4,178,89.0,8.4,131,1500.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
OZO Hotels Arena Amsterdam,4,502,251.0,7.4,8318,8400.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Generator Amsterdam,3,947,473.5,7.8,5158,2200.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
MAX Hotel Amsterdam,2,94,47.0,6.1,899,1800.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Melrose Hotel,3,189,94.5,7.7,2500,1000.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Nadia Hotel,2,201,100.5,7.4,6443,500.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Hotel Fine Harmony,3,244,122.0,7.9,1578,800.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Hotel Casa Amsterdam,3,350,175.0,8.8,10035,3100.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
INNSiDE by Meliá Amsterdam,4,186,93.0,8.6,6035,4000.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Boutique Apartments Amsterdam,4,290,145.0,8.9,2247,4200.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
COMMUNE suites,3,262,131.0,8.8,383,1300.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Dutch Design Hotel Vondelpark,3,346,173.0,8.3,405,3200.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Eric Vökel Boutique Apartments - Amsterdam Suites,4,692,346.0,8.7,1293,1100.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
The Delphi - Amsterdam Townhouse,4,703,351.5,8.5,1662,2700.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Ciao Papa Hotel Amsterdam Central Station,3,500,250.0,8.1,1312,700.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
The Panorama Suite (Mandelahuisje),3,392,196.0,9.1,70,1300.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Weber Hotel 117,2,351,175.5,7.9,487,1200.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Hotel Mansion,3,545,272.5,7.8,2065,800.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Krisotel,3,1002,501.0,8.4,3005,1200.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Keizersgracht Centre,3,736,368.0,,,900.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
GH Amsterdam,3,419,209.5,8.5,108,1600.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Leidse Square 5 star Luxury Apartment,4,954,477.0,9.8,96,1100.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Rembrandt Square Hotel,1,401,200.5,6.8,1754,800.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Hotel Arena,4,11147,5573.5,8.1,2997,2000.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Gypsy Waggon - A villa on wheels,3,186,93.0,7.0,59,7200.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Hotel Vossius Vondelpark,3,990,495.0,7.2,1430,1500.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Leidse Square 5 star Luxury Apartment,4,954,477.0,9.9,35,1100.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Charming Rooms with free parking,0,223,111.5,9.0,2,4900.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Hotel Amstelzicht,3,251,125.5,8.1,1490,700.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Rooftop Retreat,3,572,286.0,,11,500.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Hotel Fogo Amsterdam,3,563,281.5,7.3,1033,8400.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
Amor Guesthouse,3,193,96.5,9.3,39,11000.0,True,True,Amsterdam,2025-08-31 21:43:58.372674,2,0
