name,stars,price,price_per_person,rating,opinions,distance_from_centre,free_cancellation,breakfast,city,date,adults,children
Travel Hotel Amsterdam,2,358,51.14,6.5,2013,350.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
Postillion Hotel Amsterdam,4,798,114.0,8.6,10075,4800.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
Amsterdam ID Aparthotel,3,841,120.14,8.7,1815,4300.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
Amsterdam Marriott Hotel,5,1671,238.71,8.0,1762,1500.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
Delta Hotel City Center,3,624,89.14,6.6,3570,400.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
Amsterdam Teleport Hotel,3,624,89.14,7.6,8615,4300.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
Hans Brinker Hostel Amsterdam,0,811,115.86,7.8,10213,1100.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
Hotel Damrak Inn,2,1338,191.14,7.1,1785,300.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
Hotel Library Amsterdam,3,468,66.86,8.0,3312,900.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
Hampton By Hilton Amsterdam Arena Boulevard,3,694,99.14,8.1,12391,7600.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
Hotel City Garden Amsterdam,3,496,70.86,7.1,3715,1900.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
OZO Hotels Arena Amsterdam,4,680,97.14,7.4,8325,8400.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
Volkshotel,0,798,114.0,8.6,4886,2500.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
"Max Brown Hotel Canal District, part of Sircle Collection",3,664,94.86,7.7,1120,700.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
easyHotel Amsterdam Arena Boulevard,0,511,73.0,7.3,7536,7500.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
Hotel Espresso,3,750,107.14,7.4,1965,1600.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
Bob W Amsterdam Noord,4,847,121.0,8.8,929,2800.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
Olympic Hotel,4,494,70.57,8.5,9897,4400.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
The Alfred Hotel,3,736,105.14,7.3,5800,2600.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
Hotel Fine Harmony,3,691,98.71,7.9,1577,800.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
Leonardo Royal Hotel Amsterdam,4,775,110.71,8.2,7792,4800.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
Hotel Nes,3,815,116.43,8.1,3423,600.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
Hotel Old Quarter,2,780,111.43,7.4,3510,500.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
Hotel Iron Horse Amsterdam,3,858,122.57,7.4,1913,1500.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
Mercure Amsterdam Sloterdijk Station,4,850,121.43,8.4,5013,4300.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
NH Collection Amsterdam Flower Market,4,1146,163.71,8.5,6999,700.0,True,False,Amsterdam,2025-04-20 21:38:17.649299,7,0
