name,stars,price,price_per_person,rating,opinions,distance_from_centre,free_cancellation,breakfast,city,date,adults,children
Hotel Levell,3,101,33.67,8.2,15018,8600.0,True,False,Amsterdam,2025-02-03 18:14:06.111562,3,0
"Holiday Inn Express Amsterdam Arena Towers, an IHG Hotel",3,157,52.33,7.8,16457,7800.0,True,False,Amsterdam,2025-02-03 18:14:06.111562,3,0
Hampton By Hilton Amsterdam Arena Boulevard,3,240,80.0,8.1,12383,7600.0,True,False,Amsterdam,2025-02-03 18:14:06.111562,3,0
Heart of Amsterdam Hotel,0,117,39.0,7.4,2814,300.0,True,False,Amsterdam,2025-02-03 18:14:06.111562,3,0
Hotel Library Amsterdam,3,156,52.0,8.0,3310,900.0,True,False,Amsterdam,2025-02-03 18:14:06.111562,3,0
Hotel City Garden Amsterdam,3,130,43.33,7.1,3708,1900.0,True,False,Amsterdam,2025-02-03 18:14:06.111562,3,0
"Holiday Inn Amsterdam - Arena Towers, an IHG Hotel",4,257,85.67,7.9,3394,7800.0,True,False,Amsterdam,2025-02-03 18:14:06.111562,3,0
YOTEL Amsterdam,4,168,56.0,8.1,8746,2200.0,True,False,Amsterdam,2025-02-03 18:14:06.111562,3,0
Fletcher Hotel Amsterdam,4,243,81.0,7.3,3800,9400.0,True,False,Amsterdam,2025-02-03 18:14:06.111562,3,0
Hotel Van Gogh,3,136,45.33,8.0,4280,1800.0,True,False,Amsterdam,2025-02-03 18:14:06.111562,3,0
MEININGER Hotel Amsterdam City West,0,105,35.0,8.1,6445,4300.0,True,False,Amsterdam,2025-02-03 18:14:06.111562,3,0
Best Western Amsterdam,3,109,36.33,7.7,9403,4300.0,True,False,Amsterdam,2025-02-03 18:14:06.111562,3,0
ClinkNOORD Hostel,0,165,55.0,8.0,15282,1500.0,True,False,Amsterdam,2025-02-03 18:14:06.111562,3,0
Hotel Casa Amsterdam,3,158,52.67,8.8,10033,3100.0,True,False,Amsterdam,2025-02-03 18:14:06.111562,3,0
Hotel Estheréa,4,401,133.67,9.1,4856,400.0,True,False,Amsterdam,2025-02-03 18:14:06.111562,3,0
XO Hotels Couture,4,117,39.0,8.6,8442,4300.0,True,False,Amsterdam,2025-02-03 18:14:06.111562,3,0
OZO Hotels Arena Amsterdam,4,189,63.0,7.4,8318,8400.0,True,False,Amsterdam,2025-02-03 18:14:06.111562,3,0
Mister Highland Hotel,4,212,70.67,8.3,499,250.0,True,False,Amsterdam,2025-02-03 18:14:06.111562,3,0
Hotel Old Quarter,2,150,50.0,7.4,3509,500.0,True,False,Amsterdam,2025-02-03 18:14:06.111562,3,0
Hotel Atlantis Amsterdam,3,135,45.0,7.0,2816,2100.0,True,False,Amsterdam,2025-02-03 18:14:06.111562,3,0
Avenue Hotel,3,202,67.33,7.3,4713,450.0,True,False,Amsterdam,2025-02-03 18:14:06.111562,3,0
The Alfred Hotel,3,150,50.0,7.3,5798,2600.0,True,False,Amsterdam,2025-02-03 18:14:06.111562,3,0
Hotel CC,3,201,67.0,7.9,5303,500.0,True,False,Amsterdam,2025-02-03 18:14:06.111562,3,0
easyHotel Amsterdam Arena Boulevard,0,142,47.33,7.3,7528,7500.0,True,False,Amsterdam,2025-02-03 18:14:06.111562,3,0
Hotel Nes,3,226,75.33,8.1,3418,600.0,True,False,Amsterdam,2025-02-03 18:14:06.111562,3,0
