name,stars,price,price_per_person,rating,opinions,distance_from_centre,free_cancellation,breakfast,city,date,adults,children
Jaz in the City Amsterdam,4,152,152.0,8.7,10806,7200.0,True,True,Amsterdam,2025-03-11 18:09:28.679139,1,0
Hampton By Hilton Amsterdam Arena Boulevard,3,152,152.0,8.1,12383,7600.0,True,True,Amsterdam,2025-03-11 18:09:28.679139,1,0
Courtyard by Marriott Amsterdam Arena Atlas,4,200,200.0,8.2,2978,7900.0,True,True,Amsterdam,2025-03-11 18:09:28.679139,1,0
easyHotel Amsterdam Arena Boulevard,0,102,102.0,7.3,7528,7500.0,True,True,Amsterdam,2025-03-11 18:09:28.679139,1,0
OZO Hotels Arena Amsterdam,4,100,100.0,7.4,8314,8400.0,True,True,Amsterdam,2025-03-11 18:09:28.679139,1,0
ClinkNOORD Hostel,0,36,36.0,8.0,15282,1500.0,True,True,Amsterdam,2025-03-11 18:09:28.679139,1,0
Fletcher Hotel Amsterdam,4,166,166.0,7.3,3800,9400.0,True,True,Amsterdam,2025-03-11 18:09:28.679139,1,0
Via Amsterdam,3,39,39.0,8.1,17038,6600.0,True,True,Amsterdam,2025-03-11 18:09:28.679139,1,0
Hotel Estheréa,4,318,318.0,9.1,4856,400.0,True,True,Amsterdam,2025-03-11 18:09:28.679139,1,0
Ruby Emma Hotel Amsterdam,4,200,200.0,8.6,6395,4300.0,True,True,Amsterdam,2025-03-11 18:09:28.679139,1,0
Canal House,4,288,288.0,8.9,667,600.0,True,True,Amsterdam,2025-03-11 18:09:28.679139,1,0
YOTEL Amsterdam,4,124,124.0,8.1,8745,2200.0,True,True,Amsterdam,2025-03-11 18:09:28.679139,1,0
ibis Amsterdam Centre,3,156,156.0,7.7,9266,800.0,True,True,Amsterdam,2025-03-11 18:09:28.679139,1,0
Novotel Amsterdam City,4,245,245.0,8.2,6672,4400.0,True,True,Amsterdam,2025-03-11 18:09:28.679139,1,0
Park Inn by Radisson Amsterdam City West,4,123,123.0,8.0,19938,3900.0,True,True,Amsterdam,2025-03-11 18:09:28.679139,1,0
Hotel CC,3,120,120.0,7.9,5303,500.0,True,True,Amsterdam,2025-03-11 18:09:28.679139,1,0
WestCord Fashion Hotel Amsterdam,4,133,133.0,8.2,3735,3700.0,True,True,Amsterdam,2025-03-11 18:09:28.679139,1,0
Postillion Hotel Amsterdam,4,166,166.0,8.6,10054,4800.0,True,True,Amsterdam,2025-03-11 18:09:28.679139,1,0
Mercure Hotel Amsterdam West,4,90,90.0,7.5,2471,6500.0,True,True,Amsterdam,2025-03-11 18:09:28.679139,1,0
