name,stars,price,price_per_person,rating,opinions,distance_from_centre,free_cancellation,breakfast,city,date,adults,children
Hans Brinker Hostel Amsterdam,0,123,30.75,7.8,10202,1100.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
OZO Hotels Arena Amsterdam,4,691,172.75,7.4,8318,8400.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Amsterdam ID Aparthotel,3,519,129.75,8.7,1816,4300.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Hotel Fine Harmony,3,418,104.5,7.9,1578,800.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Catalonia Vondel Amsterdam,4,548,137.0,8.4,131,1500.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
The July - Boat & Co,4,602,150.5,9.2,2117,2500.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Hotel Casa Amsterdam,3,697,174.25,8.8,10035,3100.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Eric Vökel Boutique Apartments - Amsterdam Suites,4,769,192.25,8.7,1293,1100.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Melrose Hotel,3,599,149.75,7.7,2500,1000.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
The July - Twenty Eight,4,873,218.25,9.1,725,4100.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Generator Amsterdam,3,1115,278.75,7.8,5158,2200.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Hotel Espresso,3,1059,264.75,7.4,1964,1600.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Weber Hotel 117,2,761,190.25,7.9,487,1200.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Hotel Mansion,3,1112,278.0,7.8,2065,800.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Quentin Zoo hotel,4,1087,271.75,7.8,1635,1400.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Krisotel,3,2287,571.75,8.4,3005,1200.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Rooftop Retreat,3,669,167.25,,11,500.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Gypsy Waggon - A villa on wheels,3,206,51.5,7.0,59,7200.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Central B&B Apartment in Amsterdam,3,418,104.5,6.9,66,400.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Keizersgracht Centre,3,736,184.0,,,900.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Olympic Hotel,4,791,197.75,8.5,9894,4400.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Best Neighbourhood Apartment,3,827,206.75,8.9,14,450.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Quentin Arrive Hotel,1,591,147.75,5.7,1065,800.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Urban Lodge Hotel,4,1014,253.5,7.9,3990,4200.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Weber Hotel,2,769,192.25,8.1,1349,1200.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Belfort Hotel,3,1114,278.5,6.3,3717,3300.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Hotel King's Court,3,11146,2786.5,7.8,1427,4000.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Aston City Hotel,2,869,217.25,4.9,926,1700.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Quentin England Hotel,2,1087,271.75,6.3,1549,1700.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Acostar Hotel,2,1003,250.75,7.0,1576,1000.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Quentin Amsterdam Hotel,3,1087,271.75,5.9,1491,1300.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Michaelsark,3,331,82.75,8.0,3,4300.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Plantage Garden Apartments,3,1672,418.0,7.9,260,1400.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Plantage Hortus Apartments,3,2006,501.5,7.3,433,1400.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Park Inn by Radisson Amsterdam City West,4,388,97.0,8.0,19946,3900.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
INNSiDE by Meliá Amsterdam,4,667,166.75,8.6,6035,4000.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Boutique Apartments Amsterdam,4,640,160.0,8.9,2247,4200.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Dutch Design Hotel Vondelpark,3,814,203.5,8.3,405,3200.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Room Mate Aitana,4,3229,807.25,8.4,11186,1300.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Hotel Arena,4,22294,5573.5,8.1,2997,2000.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
The Delphi - Amsterdam Townhouse,4,1562,390.5,8.5,1662,2700.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Ciao Papa Hotel Amsterdam Central Station,3,1112,278.0,8.1,1312,700.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
MAX Hotel Amsterdam,2,332,83.0,6.1,899,1800.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
COMMUNE suites,3,524,131.0,8.8,383,1300.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
THIS HO(S)TEL,0,669,167.25,8.3,5542,500.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Hotel 717,5,1561,390.25,9.1,883,1000.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Houseboat Sophia,0,657,164.25,8.5,41,1300.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Homestay Properties,0,504,126.0,9.3,24,6600.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Hotel Fogo Amsterdam,3,1159,289.75,7.3,1033,8400.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Mercedes Bed&Breakfast Amsterdam,3,845,211.25,8.6,253,1000.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Boutique Hotel Oosteinde,3,912,228.0,7.5,1390,1600.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Weber Hotel 397,2,769,192.25,8.5,886,1200.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Rembrandt Square Hotel,1,803,200.75,6.8,1754,800.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Hotel2Stay,3,1271,317.75,8.6,3762,4000.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Hotel Abba,1,1115,278.75,7.3,3256,1700.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Blossoms City Hotel,2,910,227.5,6.0,1466,1700.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Sara's Boutique Hotel,3,936,234.0,5.8,710,1300.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Euphemia Budget Old City Canal Zone,0,2965,741.25,7.4,1533,1400.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Quentin Golden Bear Hotel,2,1115,278.75,5.8,746,1000.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Beautiful DutchHouse Centrum,3,516,129.0,6.6,169,350.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
City Center Studio Amsterdam,3,905,226.25,7.7,340,250.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
OZO Hotels Armada Amsterdam,3,1538,384.5,6.8,1765,1100.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
The Bee Hostel,0,245,61.25,8.6,2664,1500.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Hostelle - women only hostel Amsterdam,0,334,83.5,8.4,5167,7600.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
Dutchies Hostel,0,307,76.75,7.8,2295,3400.0,True,False,Amsterdam,2025-07-04 20:22:17.555434,4,0
