name,stars,price,price_per_person,rating,opinions,distance_from_centre,free_cancellation,breakfast,city,date,adults,children
MEININGER Hotel Amsterdam City West,0,210,42.0,8.1,6462,4300.0,True,False,Amsterdam,2025-03-08,5,0
MEININGER Hotel Amsterdam Amstel,0,281,56.2,8.1,4500,3500.0,True,False,Amsterdam,2025-03-08,5,0
Via Amsterdam,3,376,75.2,8.1,17055,6600.0,True,False,Amsterdam,2025-03-08,5,0
Hans Brinker Hostel Amsterdam,0,334,66.8,7.8,10213,1100.0,True,False,Amsterdam,2025-03-08,5,0
Hotel Old Quarter,2,518,103.6,7.4,3510,500.0,True,False,Amsterdam,2025-03-08,5,0
Generator Amsterdam,3,556,111.2,7.8,5161,2200.0,True,False,Amsterdam,2025-03-08,5,0
The Unbound Amsterdam,4,595,119.0,8.5,1976,7500.0,True,False,Amsterdam,2025-03-08,5,0
Amsterdam ID Aparthotel,3,938,187.6,8.7,1815,4300.0,True,False,Amsterdam,2025-03-08,5,0
La Corte Sconta B&B,0,626,125.2,9.0,264,6400.0,True,False,Amsterdam,2025-03-08,5,0
Weber Hotel 117,2,758,151.6,7.9,489,1200.0,True,False,Amsterdam,2025-03-08,5,0
The Alfred Hotel,3,11147,2229.4,7.3,5800,2600.0,True,False,Amsterdam,2025-03-08,5,0
Conservatorium Hotel,5,4737,947.4,8.9,313,1900.0,True,False,Amsterdam,2025-03-08,5,0
Delta Hotel City Center,3,535,107.0,6.6,3570,400.0,True,False,Amsterdam,2025-03-08,5,0
Chassé Hotel Residency,4,479,95.8,8.9,1300,3200.0,True,False,Amsterdam,2025-03-08,5,0
The Social Hub Amsterdam City,4,1092,218.4,8.4,8149,2400.0,True,False,Amsterdam,2025-03-08,5,0
Amsterdam Teleport Hotel,3,521,104.2,7.6,8615,4300.0,True,False,Amsterdam,2025-03-08,5,0
Hotel & bar Royal taste Amsterdam,0,612,122.4,7.9,1161,450.0,True,False,Amsterdam,2025-03-08,5,0
Bunk Hotel Amsterdam,3,754,150.8,8.5,5004,2200.0,True,False,Amsterdam,2025-03-08,5,0
Weber Hotel,2,612,122.4,8.1,1350,1200.0,True,False,Amsterdam,2025-03-08,5,0
Amigo Hotel,0,2229,445.8,5.9,2980,3000.0,True,False,Amsterdam,2025-03-08,5,0
ITC Hotel,2,769,153.8,6.4,1644,1200.0,True,False,Amsterdam,2025-03-08,5,0
Amsterdam Marriott Hotel,5,1571,314.2,8.0,1762,1500.0,True,False,Amsterdam,2025-03-08,5,0
Hotel King's Court,3,11146,2229.2,7.8,1426,4000.0,True,False,Amsterdam,2025-03-08,5,0
Sofitel Legend The Grand Amsterdam,5,2313,462.6,9.0,946,250.0,True,False,Amsterdam,2025-03-08,5,0
Aston City Hotel,2,936,187.2,4.9,927,1700.0,True,False,Amsterdam,2025-03-08,5,0
Hampton By Hilton Amsterdam Arena Boulevard,3,345,69.0,8.1,12391,7600.0,True,False,Amsterdam,2025-03-08,5,0
OZO Hotels Arena Amsterdam,4,390,78.0,7.4,8325,8400.0,True,False,Amsterdam,2025-03-08,5,0
Hotel Estheréa,4,793,158.6,9.1,4858,400.0,True,False,Amsterdam,2025-03-08,5,0
YOTEL Amsterdam,4,476,95.2,8.1,8748,2200.0,True,False,Amsterdam,2025-03-08,5,0
Mercure Amsterdam City Hotel,4,357,71.4,8.3,4043,4400.0,True,False,Amsterdam,2025-03-08,5,0
WestCord City Centre Hotel,3,544,108.8,8.0,3771,400.0,True,False,Amsterdam,2025-03-08,5,0
Leonardo Royal Hotel Amsterdam,4,383,76.6,8.2,7792,4800.0,True,False,Amsterdam,2025-03-08,5,0
Best Western Amsterdam,3,315,63.0,7.7,9415,4300.0,True,False,Amsterdam,2025-03-08,5,0
Amsterdam Wiechmann Hotel,2,474,94.8,8.5,4014,800.0,True,False,Amsterdam,2025-03-08,5,0
Via Suites,4,459,91.8,8.2,2324,6600.0,True,False,Amsterdam,2025-03-08,5,0
Hilton Amsterdam,5,511,102.2,8.0,1266,2800.0,True,False,Amsterdam,2025-03-08,5,0
ibis Amsterdam City West,3,424,84.8,7.7,4091,3600.0,True,False,Amsterdam,2025-03-08,5,0
Hotel Corner House,1,589,117.8,7.7,1603,200.0,True,False,Amsterdam,2025-03-08,5,0
Bob W Amsterdam Noord,4,488,97.6,8.8,929,2800.0,True,False,Amsterdam,2025-03-08,5,0
NH City Centre Amsterdam,4,717,143.4,8.2,4919,450.0,True,False,Amsterdam,2025-03-08,5,0
"Corendon Amsterdam New-West, a Tribute Portfolio Hotel",4,438,87.6,8.1,8257,5100.0,True,False,Amsterdam,2025-03-08,5,0
Volkshotel,0,589,117.8,8.6,4886,2500.0,True,False,Amsterdam,2025-03-08,5,0
Qbic Amsterdam WTC,3,434,86.8,7.8,4034,3900.0,True,False,Amsterdam,2025-03-08,5,0
Fletcher Hotel Amsterdam,4,632,126.4,7.3,3808,9400.0,True,False,Amsterdam,2025-03-08,5,0
"Holiday Inn Express Amsterdam - South, an IHG Hotel",3,464,92.8,8.0,2953,5500.0,True,False,Amsterdam,2025-03-08,5,0
Pension Homeland,0,474,94.8,8.7,3525,1600.0,True,False,Amsterdam,2025-03-08,5,0
"Holiday Inn Express Amsterdam - North Riverside, an IHG Hotel",3,550,110.0,8.3,13218,2200.0,True,False,Amsterdam,2025-03-08,5,0
The Delphi - Amsterdam Townhouse,4,567,113.4,8.5,1663,2700.0,True,False,Amsterdam,2025-03-08,5,0
SUPPER Hotel,4,589,117.8,7.3,678,700.0,True,False,Amsterdam,2025-03-08,5,0
Hotel Iron Horse Amsterdam,3,513,102.6,7.4,1913,1500.0,True,False,Amsterdam,2025-03-08,5,0
WestCord Fashion Hotel Amsterdam,4,519,103.8,8.2,3742,3700.0,True,False,Amsterdam,2025-03-08,5,0
Catalonia Vondel Amsterdam,4,435,87.0,8.4,133,1500.0,True,False,Amsterdam,2025-03-08,5,0
Leonardo Hotel Amsterdam Rembrandtpark,4,473,94.6,8.1,8948,3400.0,True,False,Amsterdam,2025-03-08,5,0
Park Plaza Victoria Amsterdam,4,769,153.8,8.5,9219,600.0,True,False,Amsterdam,2025-03-08,5,0
Citadines Canal Amsterdam,4,425,85.0,8.7,153,1300.0,True,False,Amsterdam,2025-03-08,5,0
easyHotel Amsterdam Arena Boulevard,0,418,83.6,7.3,7536,7500.0,True,False,Amsterdam,2025-03-08,5,0
Room Mate Aitana,4,678,135.6,8.4,11186,1300.0,True,False,Amsterdam,2025-03-08,5,0
"Crowne Plaza Amsterdam - South, an IHG Hotel",4,544,108.8,8.6,1243,4300.0,True,False,Amsterdam,2025-03-08,5,0
Eden Hotel Amsterdam,4,784,156.8,8.2,9627,800.0,True,False,Amsterdam,2025-03-08,5,0
"Kimpton De Witt Amsterdam, an IHG Hotel",5,811,162.2,8.7,3004,500.0,True,False,Amsterdam,2025-03-08,5,0
Van der Valk Hotel Amsterdam - Amstel,4,580,116.0,8.7,6196,4600.0,True,False,Amsterdam,2025-03-08,5,0
NH Collection Amsterdam Flower Market,4,745,149.0,8.5,6999,700.0,True,False,Amsterdam,2025-03-08,5,0
NH Amsterdam Leidseplein,4,697,139.4,8.6,1015,1400.0,True,False,Amsterdam,2025-03-08,5,0
Hotel Fine Harmony,3,568,113.6,7.9,1577,800.0,True,False,Amsterdam,2025-03-08,5,0
WestCord Art Hotel Amsterdam 4 stars,4,555,111.0,8.0,846,2800.0,True,False,Amsterdam,2025-03-08,5,0
The Manor Amsterdam,4,606,121.2,8.3,2488,2700.0,True,False,Amsterdam,2025-03-08,5,0
Q-Factory Hotel,3,610,122.0,7.1,3610,3100.0,True,False,Amsterdam,2025-03-08,5,0
Leonardo Boutique Museumhotel,4,796,159.2,7.7,3471,1400.0,True,False,Amsterdam,2025-03-08,5,0
Hotel Okura Amsterdam – The Leading Hotels of the World,5,881,176.2,8.8,1095,2700.0,True,False,Amsterdam,2025-03-08,5,0
The July - Boat & Co,4,815,163.0,9.2,2121,2500.0,True,False,Amsterdam,2025-03-08,5,0
NH Amsterdam Noord,4,783,156.6,8.3,851,2500.0,True,False,Amsterdam,2025-03-08,5,0
Hotel CC,3,788,157.6,7.9,5314,500.0,True,False,Amsterdam,2025-03-08,5,0
Hyatt Regency Amsterdam,5,897,179.4,8.4,2876,1800.0,True,False,Amsterdam,2025-03-08,5,0
The July - Twenty Eight,4,800,160.0,9.1,725,4100.0,True,False,Amsterdam,2025-03-08,5,0
Park Plaza Vondelpark Amsterdam,4,955,191.0,8.6,3603,2700.0,True,False,Amsterdam,2025-03-08,5,0
Hampton by Hilton Amsterdam Centre East,4,1001,200.2,8.4,3336,2800.0,True,False,Amsterdam,2025-03-08,5,0
