name,stars,price,price_per_person,rating,opinions,distance_from_centre,free_cancellation,breakfast,city,date,adults,children
Hotel City Garden Amsterdam,3,164,41.0,7.1,3712,1900.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
INK Hotel Amsterdam - MGallery Collection,4,624,156.0,8.7,1428,300.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
MEININGER Hotel Amsterdam City West,0,137,34.25,8.1,6453,4300.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Hotel Van Gogh,3,215,53.75,8.0,4282,1800.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Hampton By Hilton Amsterdam Arena Boulevard,3,330,82.5,8.1,12383,7600.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
ibis Amsterdam Centre,3,222,55.5,7.7,9266,800.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Hotel Levell,3,180,45.0,8.2,15027,8600.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Hotel Iron Horse Amsterdam,3,201,50.25,7.4,1908,1500.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Budget Hotel Tourist Inn,2,184,46.0,7.6,4352,350.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
MEININGER Hotel Amsterdam Amstel,0,173,43.25,8.1,4495,3500.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
OZO Hotels Arena Amsterdam,4,268,67.0,7.4,8318,8400.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Cityden BoLo District,4,252,63.0,8.4,4981,3300.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Hotel Restaurant Old Bridge,2,184,46.0,6.5,2035,800.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
SUPPER Hotel,4,245,61.25,7.3,676,700.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Apple Inn Hotel,3,198,49.5,7.7,1713,2800.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Generator Amsterdam,3,194,48.5,7.8,5158,2200.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
XO Hotels City Centre,3,231,57.75,7.1,5821,350.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
The Alfred Hotel,3,223,55.75,7.3,5798,2600.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
XO Hotel Inner,3,193,48.25,7.8,5629,2100.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Leonardo Royal Hotel Amsterdam,4,240,60.0,8.2,7785,4800.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Olympic Hotel,4,203,50.75,8.5,9891,4400.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Travel Hotel Amsterdam,2,167,41.75,6.5,2010,350.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Best Western Amsterdam,3,188,47.0,7.7,9413,4300.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Fletcher Hotel Amsterdam,4,354,88.5,7.3,3800,9400.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Via Amsterdam,3,169,42.25,8.1,17038,6600.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
NH City Centre Amsterdam,4,396,99.0,8.2,4918,450.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Stayokay Hostel Amsterdam Vondelpark,0,220,55.0,8.4,6028,1700.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Hotel Library Amsterdam,3,253,63.25,8.0,3308,900.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Amsterdam Teleport Hotel,3,148,37.0,7.6,8592,4300.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Hotel Nes,3,353,88.25,8.1,3423,600.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
The Arcade Hotel Amsterdam,3,257,64.25,7.8,1841,2200.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Amadi Panorama Hotel,4,266,66.5,7.6,5002,6600.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
New West Inn Amsterdam,3,176,44.0,7.2,8653,6800.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Mercure Amsterdam Sloterdijk Station,4,243,60.75,8.4,5013,4300.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Heart of Amsterdam Hotel,0,318,79.5,7.4,2817,300.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Hotel Atlantis Amsterdam,3,283,70.75,7.0,2817,2100.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Urban Lodge Hotel,4,231,57.75,7.9,3990,4200.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
"Max Brown Hotel Museum Square, part of Sircle Collection",3,289,72.25,7.8,1170,1600.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
XO Hotels Blue Square,3,187,46.75,7.9,7360,5000.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Hotel Fine Harmony,3,307,76.75,7.9,1578,800.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
The Muse Amsterdam - Boutique Hotel,3,312,78.0,8.2,1579,2300.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
XO Hotels Park West,4,218,54.5,8.5,10376,3400.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Hans Brinker Hostel Amsterdam,0,211,52.75,7.8,10202,1100.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Mercure Amsterdam City Hotel,4,284,71.0,8.3,4038,4400.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Hotel Espresso,3,341,85.25,7.4,1964,1600.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
France Hotel,3,304,76.0,7.4,3554,700.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Pension Homeland,0,334,83.5,8.7,3521,1600.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
easyHotel Amsterdam Arena Boulevard,0,293,73.25,7.3,7528,7500.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Tribe Amsterdam City,4,288,72.0,9.0,6441,4200.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
WestCord Fashion Hotel Amsterdam,4,349,87.25,8.2,3735,3700.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Hotel Continental Amsterdam,1,158,39.5,5.4,2308,400.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
XO Hotels Blue Tower,4,206,51.5,8.1,7389,3300.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Eden Hotel Amsterdam,4,446,111.5,8.2,9623,800.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Krisotel,3,332,83.0,8.4,3003,1200.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Amsterdam Wiechmann Hotel,2,435,108.75,8.5,4009,800.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
ClinkNOORD Hostel,0,223,55.75,8.0,15282,1500.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Volkshotel,0,399,99.75,8.6,4882,2500.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Melrose Hotel,3,326,81.5,7.7,2500,1000.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
INNSiDE by Meliá Amsterdam,4,474,118.5,8.6,6035,4000.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Stayokay Hostel Amsterdam Oost,0,211,52.75,8.1,3864,3000.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Amsterdam ID Aparthotel,3,413,103.25,8.7,1816,4300.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Leonardo Boutique Museumhotel,4,357,89.25,7.7,3477,1400.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Hotel Roemer Amsterdam,4,329,82.25,7.9,2287,1600.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Boutique Hotel Notting Hill,4,332,83.0,8.7,3367,1700.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
XO Hotels Infinity,3,192,48.0,7.7,7124,5000.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
The Bank Hotel,3,429,107.25,8.0,2052,900.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Hotel Torenzicht,1,225,56.25,7.4,2166,350.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Hotel Dwars,3,368,92.0,8.7,918,1300.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Met Hotel Amsterdam,3,272,68.0,9.0,2608,4100.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Amsterdam Marriott Hotel,5,489,122.25,8.0,1762,1500.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Hotel Mercier,4,448,112.0,8.5,2756,700.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Element Amsterdam,4,344,86.0,8.7,1433,4700.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Hotel Old Quarter,2,362,90.5,7.4,3509,500.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
ibis Styles Amsterdam City,3,389,97.25,8.4,2087,1700.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Leonardo Hotel Amsterdam City Center,4,373,93.25,7.4,2389,1600.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
ibis Styles Amsterdam Amstel,3,389,97.25,7.9,1424,1700.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Quentin Zoo hotel,4,389,97.25,7.8,1635,1400.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
The Unbound Amsterdam,4,349,87.25,8.5,1975,7500.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Mister Highland Hotel,4,511,127.75,8.3,499,250.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Hotel Sint Nicolaas,3,522,130.5,8.2,2169,500.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Hotel Fita,3,435,108.75,8.7,1613,1800.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Prinsenhotel,3,360,90.0,7.8,2375,1600.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Golden Mansion Aparthotel,3,386,96.5,7.7,1319,1600.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Delta Hotel City Center,3,273,68.25,6.6,3565,400.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
easyHotel Amsterdam City Centre South,0,194,48.5,6.7,3984,2300.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Hotel Prins Hendrik,3,305,76.25,8.0,4728,600.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
De Mallemoolen,0,210,52.5,6.7,1188,600.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
"Kimpton De Witt Amsterdam, an IHG Hotel",5,567,141.75,8.7,3006,500.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Monet Garden Hotel Amsterdam,4,511,127.75,8.9,5211,1000.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Hotel & bar Royal taste Amsterdam,0,250,62.5,7.9,1159,450.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Bastion Hotel Amsterdam Amstel,3,209,52.25,7.0,2677,5000.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Owl Hotel,3,270,67.5,7.9,1792,1600.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
NH Collection Amsterdam Flower Market,4,556,139.0,8.5,6996,700.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Catalonia Vondel Amsterdam,4,537,134.25,8.4,127,1500.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Hotel Not Hotel Amsterdam,0,234,58.5,7.3,1116,2300.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Hotel Heye 130,0,246,61.5,8.1,1297,2300.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Citiez Hotel Amsterdam,3,240,60.0,8.1,3128,6200.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
The July - Twenty Eight,4,639,159.75,9.1,725,4100.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Huygens Place Amsterdam,4,533,133.25,8.6,3157,1600.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
Hotel Alexander,3,347,86.75,8.0,2005,1600.0,True,False,Amsterdam,2024-10-27 18:38:45.056505,4,0
