name,stars,price,price_per_person,rating,opinions,distance_from_centre,free_cancellation,breakfast,city,date,adults,children
Via Amsterdam,3,383,54.71,8.1,17055,6600.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hans Brinker Hostel Amsterdam,0,453,64.71,7.8,10213,1100.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Amsterdam Marriott Hotel,5,1571,224.43,8.0,1762,1500.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Delta Hotel City Center,3,713,101.86,6.6,3570,400.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Amsterdam Teleport Hotel,3,809,115.57,7.6,8615,4300.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
MEININGER Hotel Amsterdam City West,0,261,37.29,8.1,6462,4300.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Best Western Amsterdam,3,358,51.14,7.7,9415,4300.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hampton By Hilton Amsterdam Arena Boulevard,3,484,69.14,8.1,12391,7600.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
OZO Hotels Arena Amsterdam,4,524,74.86,7.4,8325,8400.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hotel Corner House,1,711,101.57,7.7,1603,200.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Mercure Amsterdam City Hotel,4,468,66.86,8.3,4043,4400.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Bob W Amsterdam Noord,4,633,90.43,8.8,929,2800.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
The Alfred Hotel,3,602,86.0,7.3,5800,2600.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hotel Iron Horse Amsterdam,3,635,90.71,7.4,1913,1500.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Volkshotel,0,798,114.0,8.6,4886,2500.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
SUPPER Hotel,4,734,104.86,7.3,678,700.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
easyHotel Amsterdam Arena Boulevard,0,457,65.29,7.3,7536,7500.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Amsterdam Wiechmann Hotel,2,668,95.43,8.5,4014,800.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hotel Old Quarter,2,680,97.14,7.4,3510,500.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Pension Homeland,0,624,89.14,8.7,3525,1600.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Quentin Arrive Hotel,1,477,68.14,5.7,1067,800.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Amsterdam ID Aparthotel,3,968,138.29,8.7,1815,4300.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Olympic Hotel,4,522,74.57,8.5,9897,4400.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Eden Hotel Amsterdam,4,990,141.43,8.2,9627,800.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hotel Espresso,3,825,117.86,7.4,1965,1600.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
NH Collection Amsterdam Flower Market,4,934,133.43,8.5,6999,700.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
WestCord Fashion Hotel Amsterdam,4,814,116.29,8.2,3742,3700.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hotel Fine Harmony,3,758,108.29,7.9,1577,800.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Bastion Hotel Amsterdam Amstel,3,428,61.14,7.0,2678,5000.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
WestCord Art Hotel Amsterdam 4 stars,4,689,98.43,8.0,846,2800.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
"Kimpton De Witt Amsterdam, an IHG Hotel",5,1079,154.14,8.7,3004,500.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
The Unbound Amsterdam,4,772,110.29,8.5,1976,7500.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Leonardo Boutique Museumhotel,4,1024,146.29,7.7,3471,1400.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
The July - Boat & Co,4,1062,151.71,9.2,2121,2500.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
The July - Twenty Eight,4,1000,142.86,9.1,725,4100.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hotel Heye 130,0,551,78.71,8.1,1300,2300.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Multatuli Hotel,3,1115,159.29,7.6,3352,700.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
ibis Amsterdam Centre,3,813,116.14,7.7,9279,800.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
La Corte Sconta B&B,0,852,121.71,9.0,264,6400.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Weber Hotel 117,2,1079,154.14,7.9,489,1200.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
WestCord Art Hotel Amsterdam 3 stars,3,555,79.29,8.4,2246,2800.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Element Amsterdam,4,1402,200.29,8.7,1436,4700.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Quentin Zoo hotel,4,1300,185.71,7.8,1635,1400.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
"Sir Albert Hotel, part of Sircle Collection",4,1470,210.0,8.1,531,2100.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hotel Mansion,3,1947,278.14,7.8,2063,800.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Met Hotel Amsterdam,3,2450,350.0,9.0,2613,4100.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Bob W Oosterpark,4,803,114.71,9.0,366,3100.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
easyHotel Amsterdam City Centre South,0,573,81.86,6.7,3987,2300.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Urban Lodge Hotel,4,674,96.29,7.9,3990,4200.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Leonardo Hotel Amsterdam City Center,4,898,128.29,7.4,2388,1600.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Chassé Hotel Residency,4,709,101.29,8.9,1300,3200.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hotel Washington,2,801,114.43,7.2,2598,2100.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Citiez Hotel Amsterdam,3,639,91.29,8.1,3126,6200.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Golden Mansion Aparthotel,3,3262,466.0,7.7,1321,1600.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Nova Hotel,3,1018,145.43,7.8,2122,250.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hotel Mosaic City Centre,3,1104,157.71,7.7,3914,1600.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Authentic Farmhouse - De Vergulden Eenhoorn,4,918,131.14,8.2,94,3000.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hotel & bar Royal taste Amsterdam,0,904,129.14,7.9,1161,450.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Bunk Hotel Amsterdam,3,1064,152.0,8.5,5004,2200.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
New West Inn Amsterdam,3,1003,143.29,7.2,8654,6800.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
The Concert Hotel,3,869,124.14,7.7,2503,2300.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hotel De Looier,3,890,127.14,7.9,758,1000.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Quentin Amsterdam Hotel,3,855,122.14,5.9,1492,1300.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Weber Hotel,2,931,133.0,8.1,1350,1200.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Quentin England Hotel,2,958,136.86,6.3,1548,1700.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
i hotel,3,1003,143.29,7.2,1359,2600.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hotel King's Court,3,22291,3184.43,7.8,1426,4000.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Amigo Hotel,0,4459,637.0,5.9,2980,3000.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Belfort Hotel,3,2117,302.43,6.3,3721,3300.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
ITC Hotel,2,1248,178.29,6.4,1644,1200.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Botel,3,3127,446.71,7.4,4490,3100.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Aston City Hotel,2,1311,187.29,4.9,927,1700.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Rembrandtplein Hotel,1,1785,255.0,6.8,1812,600.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
YOTEL Amsterdam,4,691,98.71,8.1,8748,2200.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Catalonia Vondel Amsterdam,4,624,89.14,8.4,133,1500.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hotel Estheréa,4,1149,164.14,9.1,4858,400.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
WestCord City Centre Hotel,3,771,110.14,8.0,3771,400.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Leonardo Royal Hotel Amsterdam,4,561,80.14,8.2,7792,4800.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Via Suites,4,674,96.29,8.2,2324,6600.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
ibis Amsterdam City West,3,572,81.71,7.7,4091,3600.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Citadines Canal Amsterdam,4,614,87.71,8.7,153,1300.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
NH City Centre Amsterdam,4,1033,147.57,8.2,4919,450.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hilton Amsterdam,5,720,102.86,8.0,1266,2800.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Leonardo Hotel Amsterdam Rembrandtpark,4,640,91.43,8.1,8948,3400.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Qbic Amsterdam WTC,3,612,87.43,7.8,4034,3900.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
"Holiday Inn Express Amsterdam - South, an IHG Hotel",3,645,92.14,8.0,2953,5500.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Fletcher Hotel Amsterdam,4,843,120.43,7.3,3808,9400.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
"Corendon Amsterdam New-West, a Tribute Portfolio Hotel",4,638,91.14,8.1,8257,5100.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
The Delphi - Amsterdam Townhouse,4,800,114.29,8.5,1663,2700.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Park Plaza Victoria Amsterdam,4,1104,157.71,8.5,9219,600.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
"Holiday Inn Express Amsterdam - North Riverside, an IHG Hotel",3,799,114.14,8.3,13218,2200.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Mövenpick Hotel Amsterdam City Centre,4,944,134.86,8.3,5225,1500.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Room Mate Aitana,4,989,141.29,8.4,11186,1300.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
"Crowne Plaza Amsterdam - South, an IHG Hotel",4,760,108.57,8.6,1243,4300.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Avani Museum Quarter Amsterdam Hotel,4,947,135.29,7.8,1431,2000.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
The Manor Amsterdam,4,827,118.14,8.3,2488,2700.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Q-Factory Hotel,3,846,120.86,7.1,3610,3100.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
NH Amsterdam Leidseplein,4,981,140.14,8.6,1015,1400.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Van der Valk Hotel Amsterdam - Amstel,4,814,116.29,8.7,6196,4600.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hotel CC,3,1058,151.14,7.9,5314,500.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hotel Okura Amsterdam – The Leading Hotels of the World,5,1254,179.14,8.8,1095,2700.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hyatt Regency Amsterdam,5,1275,182.14,8.4,2876,1800.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Sofitel Legend The Grand Amsterdam,5,1811,258.71,9.0,946,250.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
NH Amsterdam Noord,4,1124,160.57,8.3,851,2500.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Park Plaza Vondelpark Amsterdam,4,1344,192.0,8.6,3603,2700.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hotel Fita,3,1221,174.43,8.7,1613,1800.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hotel Amsterdam De Roode Leeuw,4,1343,191.86,7.6,3236,100.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Grand Hotel Downtown,4,1471,210.14,7.7,3686,1600.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Boutique Apartments Amsterdam,4,1038,148.29,8.9,2253,4200.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hampton by Hilton Amsterdam Centre East,4,1446,206.57,8.4,3336,2800.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hotel Fogo Amsterdam,3,442,63.14,7.3,1041,8400.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Pulitzer Amsterdam,5,1691,241.57,8.7,1184,700.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
DoubleTree by Hilton Amsterdam - NDSM Wharf,4,1210,172.86,8.4,2801,3100.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
"Apollo Hotel Amsterdam, a Tribute Portfolio Hotel",4,1295,185.0,8.2,1581,2800.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
"InterContinental Amstel Amsterdam, an IHG Hotel",5,2451,350.14,8.8,327,1700.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
De L’Europe Amsterdam – The Leading Hotels of the World,5,2789,398.43,8.8,468,600.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Andaz Amsterdam Prinsengracht - a concept by Hyatt,5,1841,263.0,8.8,950,900.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Conservatorium Hotel,5,4091,584.43,8.9,313,1900.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Ciao Papa Hotel Amsterdam Central Station,3,2002,286.0,8.1,1312,700.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
NH Amsterdam Schiller,4,925,132.14,8.2,2709,800.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hotel Hortus,0,620,88.57,8.0,3304,1300.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
NH Amsterdam Caransa,4,904,129.14,7.9,1482,800.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
MAX Hotel Amsterdam,2,565,80.71,6.1,899,1800.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Dikker & Thijs Hotel,4,1221,174.43,7.9,2158,1100.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hotel Park Plantage,3,774,110.57,7.3,2056,1400.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hotelboat Angeline,0,1077,153.86,9.2,1391,1200.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Boutique Hotel View,3,683,97.57,8.6,842,1300.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hotel Mosaic Appartments,3,1672,238.86,7.5,266,1600.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hotel Isis,3,947,135.29,7.3,1156,1900.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hotel Abba,1,1672,238.86,7.3,3258,1700.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Anantara Grand Hotel Krasnapolsky Amsterdam,5,1875,267.86,8.8,7342,100.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Albus Hotel Amsterdam City Centre,4,1485,212.14,8.3,2694,800.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Blossoms City Hotel,2,1578,225.43,6.0,1467,1700.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Sotel Amsterdam Central Station,3,1600,228.57,7.1,258,600.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
The Townhouse Hotel,2,1483,211.86,6.1,308,1300.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Hotelboat Sarah,0,819,117.0,8.8,525,1200.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Di-Ann City Centre Hotel,0,1131,161.57,5.4,2283,450.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Motel One Amsterdam,3,531,75.86,8.5,10678,3800.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Ruby Emma Hotel Amsterdam,4,676,96.57,8.6,6398,4300.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Canal House,4,1037,148.14,8.9,668,600.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Courtyard by Marriott Amsterdam Arena Atlas,4,575,82.14,8.2,2985,7900.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Jaz in the City Amsterdam,4,1159,165.57,8.7,10808,7200.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
Novotel Amsterdam City,4,687,98.14,8.2,6681,4400.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
"Radisson Blu Hotel, Amsterdam City Center",4,1349,192.71,8.4,7282,400.0,True,False,Amsterdam,2025-03-08 21:36:36.181412,7,0
