name,stars,price,price_per_person,rating,opinions,distance_from_centre,free_cancellation,breakfast,city,date,adults,children
MEININGER Hotel Amsterdam City West,0,205,34.17,8.1,6453,4300.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
INK Hotel Amsterdam - MGallery Collection,4,1087,181.17,8.7,1428,300.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Via Amsterdam,3,254,42.33,8.1,17038,6600.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Hans Brinker Hostel Amsterdam,0,233,38.83,7.8,10202,1100.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Amsterdam Teleport Hotel,3,212,35.33,7.6,8592,4300.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Stayokay Hostel Amsterdam Vondelpark,0,329,54.83,8.4,6028,1700.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Travel Hotel Amsterdam,2,261,43.5,6.5,2010,350.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
MEININGER Hotel Amsterdam Amstel,0,358,59.67,8.1,4495,3500.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Stayokay Hostel Amsterdam Oost,0,312,52.0,8.1,3864,3000.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Guest House Amsterdam,0,156,26.0,4.7,394,2400.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
The Alfred Hotel,3,351,58.5,7.3,5798,2600.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Train Lodge Amsterdam,0,300,50.0,8.1,2322,3900.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Koopermoolen,2,350,58.33,7.4,2909,600.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Heart of Amsterdam Hotel,0,385,64.17,7.4,2817,300.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
The Flying Pig Uptown,0,279,46.5,7.9,3613,1700.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Generator Amsterdam,3,337,56.17,7.8,5158,2200.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Delta Hotel City Center,3,401,66.83,6.6,3565,400.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
St Christophers Inn at The Winston,0,346,57.67,7.9,2362,250.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Amsterdam ID Aparthotel,3,528,88.0,8.7,1816,4300.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Budget Trianon Hotel,2,282,47.0,6.8,2615,2100.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Budget Hotel Tourist Inn,2,375,62.5,7.6,4352,350.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Hotel Damrak Inn,2,401,66.83,7.1,1784,300.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
YAYS Amsterdam Salthouse Canal by Numa,4,553,92.17,8.6,895,1800.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Dam Hotel,2,415,69.17,6.2,2187,450.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
The Hotel Apartments in the Center of Amsterdam,4,800,133.33,9.1,397,450.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Hotel Old Quarter,2,474,79.0,7.4,3509,500.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Hostel Warmoes Amsterdam,0,392,65.33,6.3,980,400.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
City Hotel,2,373,62.17,6.5,1186,900.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Hotel Continental Amsterdam,1,390,65.0,5.4,2308,400.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Facade Hotel Amsterdam,2,892,148.67,7.3,3203,500.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Amigo Hotel,0,2229,371.5,5.9,2980,3000.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Hotel Mosaic Appartments,3,7022,1170.33,7.5,264,1600.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Conservatorium Hotel,5,5512,918.67,8.9,313,1900.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
De L’Europe Amsterdam – The Leading Hotels of the World,5,10321,1720.17,8.8,469,600.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Orange Tulip Hotel,1,373,62.17,6.2,836,450.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
The Social Hub Amsterdam City,4,1043,173.83,8.4,8141,2400.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Hotel TwentySeven - Small Luxury Hotels of the World,5,6841,1140.17,9.7,238,50.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Joy Hotel,3,411,68.5,7.4,7801,8500.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Hotel Estheréa,4,923,153.83,9.1,4856,400.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
YOTEL Amsterdam,4,662,110.33,8.1,8746,2200.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Hotel Levell,3,316,52.67,8.2,15027,8600.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
Hotel Restaurant Old Bridge,2,332,55.33,6.5,2035,800.0,True,False,Amsterdam,2024-10-23 19:02:28.747350,6,0
