name,stars,price,price_per_person,rating,opinions,distance_from_centre,free_cancellation,breakfast,city,date,adults,children
Hotel & bar Royal taste Amsterdam,0,790,79.0,7.9,1161,450.0,True,False,Amsterdam,2025-06-21 21:06:47.463671,10,0
Amsterdam ID Aparthotel,3,1138,113.8,8.7,1815,4300.0,True,False,Amsterdam,2025-06-21 21:06:47.463671,10,0
Hotel King's Court,3,22291,2229.1,7.8,1426,4000.0,True,False,Amsterdam,2025-06-21 21:06:47.463671,10,0
Plantage Hortus Apartments,3,4793,479.3,7.3,435,1400.0,True,False,Amsterdam,2025-06-21 21:06:47.463671,10,0
Catalonia Vondel Amsterdam,4,1195,119.5,8.4,133,1500.0,True,False,Amsterdam,2025-06-21 21:06:47.463671,10,0
Hotel Casa Amsterdam,3,1486,148.6,8.8,10042,3100.0,True,False,Amsterdam,2025-06-21 21:06:47.463671,10,0
Hotel Fine Harmony,3,1343,134.3,7.9,1577,800.0,True,False,Amsterdam,2025-06-21 21:06:47.463671,10,0
The July - Boat & Co,4,1684,168.4,9.2,2121,2500.0,True,False,Amsterdam,2025-06-21 21:06:47.463671,10,0
OZO Hotels Arena Amsterdam,4,1940,194.0,7.4,8325,8400.0,True,False,Amsterdam,2025-06-21 21:06:47.463671,10,0
Weber Hotel 117,2,1884,188.4,7.9,489,1200.0,True,False,Amsterdam,2025-06-21 21:06:47.463671,10,0
Hotel Espresso,3,2709,270.9,7.4,1965,1600.0,True,False,Amsterdam,2025-06-21 21:06:47.463671,10,0
SUPPER Hotel,4,4227,422.7,7.3,678,700.0,True,False,Amsterdam,2025-06-21 21:06:47.463671,10,0
Hotel Mansion,3,2781,278.1,7.8,2063,800.0,True,False,Amsterdam,2025-06-21 21:06:47.463671,10,0
"Max Brown Hotel Museum Square, part of Sircle Collection",3,3341,334.1,7.8,1170,1600.0,True,False,Amsterdam,2025-06-21 21:06:47.463671,10,0
"Max Brown Hotel Canal District, part of Sircle Collection",3,3341,334.1,7.7,1120,700.0,True,False,Amsterdam,2025-06-21 21:06:47.463671,10,0
Quentin Zoo hotel,4,2703,270.3,7.8,1635,1400.0,True,False,Amsterdam,2025-06-21 21:06:47.463671,10,0
Hotel Mosaic City Centre,3,1572,157.2,7.7,3914,1600.0,True,False,Amsterdam,2025-06-21 21:06:47.463671,10,0
Golden Mansion Aparthotel,3,4624,462.4,7.7,1321,1600.0,True,False,Amsterdam,2025-06-21 21:06:47.463671,10,0
Linden Hotel,3,1542,154.2,9.1,2101,1100.0,True,False,Amsterdam,2025-06-21 21:06:47.463671,10,0
Quentin Arrive Hotel,1,1728,172.8,5.7,1067,800.0,True,False,Amsterdam,2025-06-21 21:06:47.463671,10,0
Olympic Hotel,4,2140,214.0,8.5,9897,4400.0,True,False,Amsterdam,2025-06-21 21:06:47.463671,10,0
Weber Hotel,2,1923,192.3,8.1,1350,1200.0,True,False,Amsterdam,2025-06-21 21:06:47.463671,10,0
Urban Lodge Hotel,4,2553,255.3,7.9,3990,4200.0,True,False,Amsterdam,2025-06-21 21:06:47.463671,10,0
Belfort Hotel,3,3120,312.0,6.3,3721,3300.0,True,False,Amsterdam,2025-06-21 21:06:47.463671,10,0
Botel,3,4353,435.3,7.4,4490,3100.0,True,False,Amsterdam,2025-06-21 21:06:47.463671,10,0
