name,stars,price,price_per_person,rating,opinions,distance_from_centre,free_cancellation,breakfast,city,date,adults,children
Travel Hotel Amsterdam,2,295,36.88,6.5,2013,350.0,True,False,Amsterdam,2024-10-01,8,0
Postillion Hotel Amsterdam,4,887,110.88,8.6,10075,4800.0,True,False,Amsterdam,2024-10-01,8,0
Via Amsterdam,3,330,41.25,8.1,17055,6600.0,True,False,Amsterdam,2024-10-01,8,0
Heart of Amsterdam Hotel,0,518,64.75,7.4,2821,300.0,True,False,Amsterdam,2024-10-01,8,0
Guest House Amsterdam,0,184,23.0,4.7,395,2400.0,True,False,Amsterdam,2024-10-01,8,0
Hostel Warmoes Amsterdam,0,334,41.75,6.3,982,400.0,True,False,Amsterdam,2024-10-01,8,0
Amsterdam Teleport Hotel,3,360,45.0,7.6,8615,4300.0,True,False,Amsterdam,2024-10-01,8,0
Delta Hotel City Center,3,535,66.88,6.6,3570,400.0,True,False,Amsterdam,2024-10-01,8,0
Budget Trianon Hotel,2,361,45.12,6.8,2616,2100.0,True,False,Amsterdam,2024-10-01,8,0
City Hotel,2,421,52.62,6.5,1187,900.0,True,False,Amsterdam,2024-10-01,8,0
Hans Brinker Hostel Amsterdam,0,581,72.62,7.8,10213,1100.0,True,False,Amsterdam,2024-10-01,8,0
Cityden BoLo District,4,654,81.75,8.4,4982,3300.0,True,False,Amsterdam,2024-10-01,8,0
MEININGER Hotel Amsterdam City West,0,350,43.75,8.1,6462,4300.0,True,False,Amsterdam,2024-10-01,8,0
Hampton By Hilton Amsterdam Arena Boulevard,3,675,84.38,8.1,12391,7600.0,True,False,Amsterdam,2024-10-01,8,0
OZO Hotels Arena Amsterdam,4,624,78.0,7.4,8325,8400.0,True,False,Amsterdam,2024-10-01,8,0
Hotel City Garden Amsterdam,3,526,65.75,7.1,3715,1900.0,True,False,Amsterdam,2024-10-01,8,0
Stayokay Hostel Amsterdam Vondelpark,0,441,55.12,8.4,6034,1700.0,True,False,Amsterdam,2024-10-01,8,0
Hotel Corner House,1,638,79.75,7.7,1603,200.0,True,False,Amsterdam,2024-10-01,8,0
Hotel Library Amsterdam,3,597,74.62,8.0,3312,900.0,True,False,Amsterdam,2024-10-01,8,0
The Alfred Hotel,3,546,68.25,7.3,5800,2600.0,True,False,Amsterdam,2024-10-01,8,0
Hotel Levell,3,397,49.62,8.2,15037,8600.0,True,False,Amsterdam,2024-10-01,8,0
Budget Hotel Tourist Inn,2,486,60.75,7.6,4356,350.0,True,False,Amsterdam,2024-10-01,8,0
Apple Inn Hotel,3,544,68.0,7.7,1716,2800.0,True,False,Amsterdam,2024-10-01,8,0
Quentin Arrive Hotel,1,377,47.12,5.7,1067,800.0,True,False,Amsterdam,2024-10-01,8,0
Best Western Amsterdam,3,401,50.12,7.7,9415,4300.0,True,False,Amsterdam,2024-10-01,8,0
SUPPER Hotel,4,667,83.38,7.3,678,700.0,True,False,Amsterdam,2024-10-01,8,0
"Max Brown Hotel Museum Square, part of Sircle Collection",3,642,80.25,7.8,1170,1600.0,True,False,Amsterdam,2024-10-01,8,0
