name,stars,price,price_per_person,rating,opinions,distance_from_centre,free_cancellation,breakfast,city,date,adults,children
Hostel Warmoes Amsterdam,0,478,53.11,6.3,980,400.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
The White Tulip Hostel,0,613,68.11,6.5,3554,350.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
Amsterdam Teleport Hotel,3,705,78.33,7.6,8604,4300.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
Guest House Amsterdam,0,233,25.89,4.7,394,2400.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
De Mallemoolen,0,460,51.11,6.7,1188,600.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
Chasse Hotel,4,599,66.56,8.7,3757,2200.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
Train Lodge Amsterdam,0,427,47.44,8.1,2322,3900.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
Budget Hotel Ben,1,487,54.11,6.8,3117,350.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
Hostel The Globe,0,477,53.0,7.2,1418,600.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
Budget Hotel Tourist Inn,2,619,68.78,7.6,4352,350.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
MEININGER Hotel Amsterdam City West,0,498,55.33,8.1,6453,4300.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
Budget Trianon Hotel,2,416,46.22,6.8,2616,2100.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
The Unbound Amsterdam,4,981,109.0,8.5,1975,7500.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
Apple Inn Hotel,3,767,85.22,7.7,1713,2800.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
Hotel Damrak Inn,2,589,65.44,7.1,1784,300.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
Amsterdam House Hotel,3,1239,137.67,7.7,1950,600.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
Travel Hotel Amsterdam,2,591,65.67,6.5,2010,350.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
Amsterdam Downtown Hotel,2,1694,188.22,7.0,2254,1000.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
Hotel Sphinx,0,593,65.89,6.6,1564,1500.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
Chassé Hotel Residency,4,748,83.11,8.9,1297,3200.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
Hotel Titus City Centre,2,563,62.56,6.6,1284,1200.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
Delta Hotel City Center,3,719,79.89,6.6,3565,400.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
Hotel & bar Royal taste Amsterdam,0,672,74.67,7.9,1159,450.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
Aston City Hotel,2,578,64.22,4.9,926,1700.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
BackStage Hotel,0,843,93.67,8.3,1806,1200.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
Hotel Continental Amsterdam,1,571,63.44,5.4,2308,400.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
Dam Hotel,2,664,73.78,6.2,2187,450.0,True,False,Amsterdam,2024-08-05 21:22:40.581351,9,0
