name,stars,price,price_per_person,rating,opinions,distance_from_centre,free_cancellation,breakfast,city,date,adults,children
Room Mate Aitana,4,261,130.5,8.4,11182,1300.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Hampton By Hilton Amsterdam Arena Boulevard,3,125,62.5,8.1,12380,7600.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Motel One Amsterdam,3,121,60.5,8.5,10663,3800.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
"Holiday Inn Express Amsterdam Arena Towers, an IHG Hotel",3,113,56.5,7.8,16443,7800.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Jaz in the City Amsterdam,4,119,59.5,8.7,10801,7200.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Conscious Hotel Amsterdam City - The Tire Station,3,106,53.0,8.3,2982,3100.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
ibis Styles Amsterdam Central Station,3,149,74.5,7.8,4335,600.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Campanile Hotel & Restaurant Amsterdam Zuid-Oost,3,85,42.5,7.5,2869,9300.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
De Bedstee Boutique Capsules,0,89,44.5,8.0,2076,2200.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Canal House,4,307,153.5,8.9,667,600.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
OZO Hotels Arena Amsterdam,4,105,52.5,7.4,8314,8400.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Park Inn by Radisson Amsterdam City West,4,123,61.5,8.0,19938,3900.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Conscious Hotel Westerpark,4,138,69.0,8.4,3131,1900.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
ibis Amsterdam City West,3,96,48.0,7.7,4088,3600.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Hotel Estheréa,4,381,190.5,9.1,4856,400.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
YOTEL Amsterdam,4,153,76.5,8.1,8745,2200.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Leonardo Hotel Amsterdam Rembrandtpark,4,113,56.5,8.1,8939,3400.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Hampton by Hilton Amsterdam Centre East,4,162,81.0,8.4,3335,2800.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Ruby Emma Hotel Amsterdam,4,178,89.0,8.6,6391,4300.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
WestCord City Centre Hotel,3,167,83.5,8.0,3766,400.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Via Amsterdam,3,136,68.0,8.1,17038,6600.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
"Holiday Inn Express Amsterdam - Sloterdijk Station, an IHG Hotel",3,121,60.5,7.9,8345,4100.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Mercure Amsterdam City Hotel,4,117,58.5,8.3,4033,4400.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Hotel CC,3,168,84.0,7.9,5302,500.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
The Lancaster Hotel Amsterdam,4,163,81.5,7.9,4030,1600.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Joy Hotel,3,162,81.0,7.4,7797,8500.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
The Alfred Hotel,3,136,68.0,7.3,5796,2600.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
"Holiday Inn Express Amsterdam - South, an IHG Hotel",3,132,66.0,8.0,2953,5500.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Hotel Jakarta Amsterdam,4,252,126.0,9.0,7043,2100.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Four Elements Hotel,4,122,61.0,8.2,5881,7900.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
The Concert Hotel,3,110,55.0,7.7,2503,2300.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Moxy Amsterdam Houthavens,4,141,70.5,8.0,2394,3400.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
WestCord Fashion Hotel Amsterdam,4,128,64.0,8.2,3728,3700.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
the niu Fender,4,129,64.5,8.2,5592,3900.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
NH Amsterdam Zuid,4,115,57.5,8.1,1808,5200.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
The ED Amsterdam,3,158,79.0,8.4,1902,1400.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Hotel Levell,3,100,50.0,8.2,15018,8600.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
NH Amsterdam Leidseplein,4,203,101.5,8.6,1006,1400.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Mercure Hotel Amsterdam West,4,113,56.5,7.5,2471,6500.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Q-Factory Hotel,3,130,65.0,7.1,3605,3100.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Courtyard by Marriott Amsterdam Arena Atlas,4,168,84.0,8.2,2978,7900.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
ClinkNOORD Hostel,0,213,106.5,8.0,15282,1500.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Novotel Amsterdam City,4,133,66.5,8.2,6672,4400.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Leonardo Boutique Museumhotel,4,181,90.5,7.7,3476,1400.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Apollofirst Boutique Hotel,4,170,85.0,8.7,1996,2800.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Pestana Amsterdam Riverside,5,251,125.5,8.5,4345,2400.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Hotel Arena,4,184,92.0,8.1,2995,2000.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
Hotel & Wellness Zuiver,3,203,101.5,8.3,4195,5400.0,True,True,Amsterdam,2024-12-21 17:25:51.791300,2,0
