name,stars,price,price_per_person,rating,opinions,distance_from_centre,free_cancellation,breakfast,city,date,adults,children
Amsterdam Canal Hotel,3,192,192.0,7.8,1457,1500.0,True,True,Amsterdam,2024-09-17 18:01:06.244550,1,0
Jaz in the City Amsterdam,4,185,185.0,8.7,10806,7200.0,True,True,Amsterdam,2024-09-17 18:01:06.244550,1,0
"Holiday Inn Express Amsterdam Arena Towers, an IHG Hotel",3,179,179.0,7.8,16443,7800.0,True,True,Amsterdam,2024-09-17 18:01:06.244550,1,0
Hotel Restaurant Old Bridge,2,88,88.0,6.5,2028,800.0,True,True,Amsterdam,2024-09-17 18:01:06.244550,1,0
Joy Hotel,3,103,103.0,7.4,7797,8500.0,True,True,Amsterdam,2024-09-17 18:01:06.244550,1,0
easyHotel Amsterdam Arena Boulevard,0,143,143.0,7.3,7528,7500.0,True,True,Amsterdam,2024-09-17 18:01:06.244550,1,0
Via Amsterdam,3,39,39.0,8.1,17038,6600.0,True,True,Amsterdam,2024-09-17 18:01:06.244550,1,0
ClinkNOORD Hostel,0,42,42.0,8.0,15282,1500.0,True,True,Amsterdam,2024-09-17 18:01:06.244550,1,0
Hotel City Garden Amsterdam,3,103,103.0,7.1,3708,1900.0,True,True,Amsterdam,2024-09-17 18:01:06.244550,1,0
Hampton By Hilton Amsterdam Arena Boulevard,3,304,304.0,8.1,12383,7600.0,True,True,Amsterdam,2024-09-17 18:01:06.244550,1,0
Motel One Amsterdam,3,133,133.0,8.5,10669,3800.0,True,True,Amsterdam,2024-09-17 18:01:06.244550,1,0
Fletcher Hotel Amsterdam,4,188,188.0,7.3,3800,9400.0,True,True,Amsterdam,2024-09-17 18:01:06.244550,1,0
Hotel Levell,3,110,110.0,8.2,15018,8600.0,True,True,Amsterdam,2024-09-17 18:01:06.244550,1,0
nhow Amsterdam Rai,4,179,179.0,9.0,10984,3800.0,True,True,Amsterdam,2024-09-17 18:01:06.244550,1,0
OZO Hotels Arena Amsterdam,4,205,205.0,7.4,8314,8400.0,True,True,Amsterdam,2024-09-17 18:01:06.244550,1,0
"Holiday Inn Amsterdam - Arena Towers, an IHG Hotel",4,213,213.0,7.9,3393,7800.0,True,True,Amsterdam,2024-09-17 18:01:06.244550,1,0
Koopermoolen,2,120,120.0,7.4,2907,600.0,True,True,Amsterdam,2024-09-17 18:01:06.244550,1,0
ibis Styles Amsterdam Central Station,3,218,218.0,7.8,4335,600.0,True,True,Amsterdam,2024-09-17 18:01:06.244550,1,0
"Max Brown Hotel Canal District, part of Sircle Collection",3,178,178.0,7.7,1120,700.0,True,True,Amsterdam,2024-09-17 18:01:06.244550,1,0
Hotel Prins Hendrik,3,145,145.0,8.0,4728,600.0,True,True,Amsterdam,2024-09-17 18:01:06.244550,1,0
Hotel Estheréa,4,357,357.0,9.1,4856,400.0,True,True,Amsterdam,2024-09-17 18:01:06.244550,1,0
Hotel Old Quarter,2,122,122.0,7.4,3509,500.0,True,True,Amsterdam,2024-09-17 18:01:06.244550,1,0
Ruby Emma Hotel Amsterdam,4,263,263.0,8.6,6395,4300.0,True,True,Amsterdam,2024-09-17 18:01:06.244550,1,0
De Mallemoolen,0,90,90.0,6.7,1188,600.0,True,True,Amsterdam,2024-09-17 18:01:06.244550,1,0
YOTEL Amsterdam,4,202,202.0,8.1,8745,2200.0,True,True,Amsterdam,2024-09-17 18:01:06.244550,1,0
