name,stars,price,price_per_person,rating,opinions,distance_from_centre,free_cancellation,breakfast,city,date,adults,children
Jaz in the City Amsterdam,4,152,76.0,8.7,10808,7200.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
Ruby Emma Hotel Amsterdam,4,111,55.5,8.6,6398,4300.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
citizenM Amsterdam South,4,121,60.5,8.6,4392,3600.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
Via Amsterdam,3,134,67.0,8.1,17055,6600.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
Fletcher Hotel Amsterdam,4,144,72.0,7.3,3808,9400.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
Canal House,4,338,169.0,8.9,668,600.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
Motel One Amsterdam-Waterlooplein,3,166,83.0,8.7,6219,1000.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
Mercure Amsterdam City Hotel,4,117,58.5,8.3,4043,4400.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
Catalonia Vondel Amsterdam,4,178,89.0,8.4,133,1500.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
nhow Amsterdam Rai,4,181,90.5,9.0,10997,3800.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
Hotel Old Quarter,2,132,66.0,7.4,3510,500.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
Leonardo Royal Hotel Amsterdam,4,142,71.0,8.2,7792,4800.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
Leonardo Hotel Amsterdam Rembrandtpark,4,150,75.0,8.1,8948,3400.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
Hotel Jakarta Amsterdam,4,263,131.5,9.0,7046,2100.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
Park Inn by Radisson Amsterdam City West,4,171,85.5,8.0,19959,3900.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
Avani Museum Quarter Amsterdam Hotel,4,196,98.0,7.8,1431,2000.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
Generator Amsterdam,3,149,74.5,7.8,5161,2200.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
Novotel Amsterdam City,4,181,90.5,8.2,6681,4400.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
WesterVilla,0,165,82.5,8.9,1183,2500.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
Klavergeluk,3,163,81.5,9.3,127,3400.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
INNSiDE by Meliá Amsterdam,4,206,103.0,8.6,6041,4000.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
Hotel Arena,4,205,102.5,8.1,2993,2000.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
Bilderberg Garden Hotel,5,187,93.5,7.7,1972,2700.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
The Social Hub Amsterdam City,4,158,79.0,8.4,8149,2400.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
The July - Boat & Co,4,219,109.5,9.2,2121,2500.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
NH Amsterdam Leidseplein,4,236,118.0,8.6,1015,1400.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
The Social Hub Amsterdam West 4 star,4,139,69.5,8.4,2746,3800.0,True,True,Amsterdam,2025-05-25 21:06:32.958339,2,0
