name,stars,price,price_per_person,rating,opinions,distance_from_centre,free_cancellation,breakfast,city,date,adults,children
Travel Hotel Amsterdam,2,297,33.0,6.5,2013,350.0,True,False,Amsterdam,2025-04-28,9,0
Postillion Hotel Amsterdam,4,1053,117.0,8.6,10075,4800.0,True,False,Amsterdam,2025-04-28,9,0
Amsterdam Teleport Hotel,3,680,75.56,7.6,8615,4300.0,True,False,Amsterdam,2025-04-28,9,0
MEININGER Hotel Amsterdam City West,0,482,53.56,8.1,6462,4300.0,True,False,Amsterdam,2025-04-28,9,0
Budget Hotel Tourist Inn,2,572,63.56,7.6,4356,350.0,True,False,Amsterdam,2025-04-28,9,0
Amsterdam ID Aparthotel,3,982,109.11,8.7,1815,4300.0,True,False,Amsterdam,2025-04-28,9,0
Delta Hotel City Center,3,619,68.78,6.6,3570,400.0,True,False,Amsterdam,2025-04-28,9,0
Eric Vökel Boutique Apartments - Riverfront Suites,3,1795,199.44,9.0,61,2300.0,True,False,Amsterdam,2025-04-28,9,0
Hotel Library Amsterdam,3,2461,273.44,8.0,3312,900.0,True,False,Amsterdam,2025-04-28,9,0
Chasse Hotel,4,768,85.33,8.7,3760,2200.0,True,False,Amsterdam,2025-04-28,9,0
A-Train Hotel,3,981,109.0,8.5,2915,700.0,True,False,Amsterdam,2025-04-28,9,0
Chassé Hotel Residency,4,939,104.33,8.9,1300,3200.0,True,False,Amsterdam,2025-04-28,9,0
Hotel Continental Amsterdam,1,665,73.89,5.4,2308,400.0,True,False,Amsterdam,2025-04-28,9,0
Amigo Hotel,0,4459,495.44,5.9,2980,3000.0,True,False,Amsterdam,2025-04-28,9,0
Hotel & bar Royal taste Amsterdam,0,999,111.0,7.9,1161,450.0,True,False,Amsterdam,2025-04-28,9,0
ITC Hotel,2,1092,121.33,6.4,1644,1200.0,True,False,Amsterdam,2025-04-28,9,0
Hotel Sebastians,4,1734,192.67,8.9,1620,700.0,True,False,Amsterdam,2025-04-28,9,0
Hotel King's Court,3,22291,2476.78,7.8,1426,4000.0,True,False,Amsterdam,2025-04-28,9,0
Weber Hotel,2,1514,168.22,8.1,1350,1200.0,True,False,Amsterdam,2025-04-28,9,0
Aston City Hotel,2,1806,200.67,4.9,927,1700.0,True,False,Amsterdam,2025-04-28,9,0
Hotel Damrak Inn,2,1889,209.89,7.1,1785,300.0,True,False,Amsterdam,2025-04-28,9,0
YOTEL Amsterdam,4,672,74.67,8.1,8748,2200.0,True,False,Amsterdam,2025-04-28,9,0
"Holiday Inn Express Amsterdam Arena Towers, an IHG Hotel",3,819,91.0,7.8,16470,7800.0,True,False,Amsterdam,2025-04-28,9,0
Hampton By Hilton Amsterdam Arena Boulevard,3,771,85.67,8.1,12391,7600.0,True,False,Amsterdam,2025-04-28,9,0
