name,stars,price,price_per_person,rating,opinions,distance_from_centre,free_cancellation,breakfast,city,date,adults,children
Via Amsterdam,3,274,54.8,8.1,17049,6600.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
INK Hotel Amsterdam - MGallery Collection,4,1003,200.6,8.7,1428,300.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
MEININGER Hotel Amsterdam City West,0,194,38.8,8.1,6453,4300.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Hotel City Garden Amsterdam,3,263,52.6,7.1,3712,1900.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Zuidas Apartments - What'App - #0049-1551-0648-086 For reservations,0,156,31.2,,,4300.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Budget Hotel Tourist Inn,2,290,58.0,7.6,4352,350.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Avenue Hotel,3,466,93.2,7.3,4718,450.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Hotel Library Amsterdam,3,437,87.4,8.0,3308,900.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
MEININGER Hotel Amsterdam Amstel,0,260,52.0,8.1,4496,3500.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Apple Inn Hotel,3,375,75.0,7.7,1713,2800.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Generator Amsterdam,3,384,76.8,7.8,5158,2200.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
The Alfred Hotel,3,490,98.0,7.3,5798,2600.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
The Unbound Amsterdam,4,595,119.0,8.5,1975,7500.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Eric Vökel Boutique Apartments - Riverfront Suites,3,969,193.8,9.0,60,2300.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Hotel Old Quarter,2,630,126.0,7.4,3509,500.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Heart of Amsterdam Hotel,0,652,130.4,7.4,2817,300.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Amsterdam ID Aparthotel,3,1163,232.6,8.7,1816,4300.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Weber Hotel 117,2,596,119.2,7.9,487,1200.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Amsterdam Teleport Hotel,3,230,46.0,7.6,8604,4300.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Sofitel Legend The Grand Amsterdam,5,2341,468.2,9.0,946,250.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Amsterdam Downtown Hotel,2,892,178.4,7.0,2254,1000.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
La Corte Sconta B&B,0,907,181.4,8.9,263,6400.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Conservatorium Hotel,5,4737,947.4,8.9,313,1900.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Chasse Hotel,4,469,93.8,8.7,3757,2200.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Chassé Hotel Residency,4,465,93.0,8.9,1297,3200.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Travel Hotel Amsterdam,2,296,59.2,6.5,2010,350.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Aston City Hotel,2,274,54.8,4.9,926,1700.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
BackStage Hotel,0,495,99.0,8.3,1806,1200.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Hans Brinker Hostel Amsterdam,0,384,76.8,7.8,10202,1100.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
The Social Hub Amsterdam City,4,936,187.2,8.4,8146,2400.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Hotel TwentySeven - Small Luxury Hotels of the World,5,6272,1254.4,9.7,238,50.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Hotel des Arts,3,605,121.0,8.4,720,500.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Guest House Amsterdam,0,156,31.2,4.7,394,2400.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
ITC Hotel,2,373,74.6,6.4,1643,1200.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Delta Hotel City Center,3,535,107.0,6.6,3565,400.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Weber Hotel,2,483,96.6,8.1,1349,1200.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Hotel Sebastians,4,952,190.4,8.9,1622,700.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Hotel & bar Royal taste Amsterdam,0,612,122.4,7.9,1159,450.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Budget Trianon Hotel,2,427,85.4,6.8,2616,2100.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Bunk Hotel Amsterdam,3,961,192.2,8.5,4993,2200.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Hotel Continental Amsterdam,1,557,111.4,5.4,2308,400.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Amigo Hotel,0,2229,445.8,5.9,2980,3000.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Hotel Damrak Inn,2,1115,223.0,7.1,1784,300.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Hotel King's Court,3,11146,2229.2,7.8,1427,4000.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Spacious homely house boat,3,1270,254.0,10,3,1400.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Hampton By Hilton Amsterdam Arena Boulevard,3,364,72.8,8.1,12383,7600.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
"Holiday Inn Express Amsterdam Arena Towers, an IHG Hotel",3,366,73.2,7.8,16457,7800.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
OZO Hotels Arena Amsterdam,4,346,69.2,7.4,8318,8400.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
Hotel Estheréa,4,863,172.6,9.1,4859,400.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
YOTEL Amsterdam,4,510,102.0,8.1,8746,2200.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
"Holiday Inn Amsterdam - Arena Towers, an IHG Hotel",4,421,84.2,7.9,3394,7800.0,True,False,Amsterdam,2025-01-01 20:00:44.248855,5,0
