name,stars,price,price_per_person,rating,opinions,distance_from_centre,free_cancellation,breakfast,city,date,adults,children
Aston City Hotel,2,1806,200.67,4.9,926,1700.0,True,False,Amsterdam,2025-08-21 20:53:09.932144,9,0
Hotel King's Court,3,22291,2476.78,7.8,1427,4000.0,True,False,Amsterdam,2025-08-21 20:53:09.932144,9,0
Plantage Hortus Apartments,3,4793,532.56,7.3,433,1400.0,True,False,Amsterdam,2025-08-21 20:53:09.932144,9,0
Hotel Casa Amsterdam,3,1184,131.56,8.8,10035,3100.0,True,False,Amsterdam,2025-08-21 20:53:09.932144,9,0
OZO Hotels Arena Amsterdam,4,1884,209.33,7.4,8318,8400.0,True,False,Amsterdam,2025-08-21 20:53:09.932144,9,0
Melrose Hotel,3,1005,111.67,7.7,2500,1000.0,True,False,Amsterdam,2025-08-21 20:53:09.932144,9,0
Hotel Fine Harmony,3,1020,113.33,7.9,1578,800.0,True,False,Amsterdam,2025-08-21 20:53:09.932144,9,0
Park Inn by Radisson Amsterdam City West,4,1491,165.67,8.0,19946,3900.0,True,False,Amsterdam,2025-08-21 20:53:09.932144,9,0
Boutique Apartments Amsterdam,4,1194,132.67,8.9,2247,4200.0,True,False,Amsterdam,2025-08-21 20:53:09.932144,9,0
Catalonia Vondel Amsterdam,4,2006,222.89,8.4,131,1500.0,True,False,Amsterdam,2025-08-21 20:53:09.932144,9,0
The Delphi - Amsterdam Townhouse,4,2726,302.89,8.5,1662,2700.0,True,False,Amsterdam,2025-08-21 20:53:09.932144,9,0
Ciao Papa Hotel Amsterdam Central Station,3,2669,296.56,8.1,1312,700.0,True,False,Amsterdam,2025-08-21 20:53:09.932144,9,0
Weber Hotel 117,2,1615,179.44,7.9,487,1200.0,True,False,Amsterdam,2025-08-21 20:53:09.932144,9,0
Hotel Mansion,3,2504,278.22,7.8,2065,800.0,True,False,Amsterdam,2025-08-21 20:53:09.932144,9,0
Quentin Zoo hotel,4,2424,269.33,7.8,1635,1400.0,True,False,Amsterdam,2025-08-21 20:53:09.932144,9,0
Hotel Amstelzicht,3,1154,128.22,8.1,1490,700.0,True,False,Amsterdam,2025-08-21 20:53:09.932144,9,0
Hotel Fogo Amsterdam,3,1839,204.33,7.3,1033,8400.0,True,False,Amsterdam,2025-08-21 20:53:09.932144,9,0
Hotel Abba,1,1672,185.78,7.3,3256,1700.0,True,False,Amsterdam,2025-08-21 20:53:09.932144,9,0
Rembrandt Square Hotel,1,1685,187.22,6.8,1754,800.0,True,False,Amsterdam,2025-08-21 20:53:09.932144,9,0
Belfort Hotel,3,3010,334.44,6.3,3717,3300.0,True,False,Amsterdam,2025-08-21 20:53:09.932144,9,0
Quentin Arrive Hotel,1,1717,190.78,5.7,1065,800.0,True,False,Amsterdam,2025-08-21 20:53:09.932144,9,0
Quentin England Hotel,2,2480,275.56,6.3,1549,1700.0,True,False,Amsterdam,2025-08-21 20:53:09.932144,9,0
Blossoms City Hotel,2,2006,222.89,6.0,1466,1700.0,True,False,Amsterdam,2025-08-21 20:53:09.932144,9,0
Weber Hotel,2,1807,200.78,8.1,1349,1200.0,True,False,Amsterdam,2025-08-21 20:53:09.932144,9,0
Hotel Vossius Vondelpark,3,2970,330.0,7.2,1430,1500.0,True,False,Amsterdam,2025-08-21 20:53:09.932144,9,0
