name,stars,price,price_per_person,rating,opinions,distance_from_centre,free_cancellation,breakfast,city,date,adults,children
Jaz in the City Amsterdam,4,143,143.0,8.7,10808,7200.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Hampton By Hilton Amsterdam Arena Boulevard,3,192,192.0,8.1,12391,7600.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
"Holiday Inn Express Amsterdam Arena Towers, an IHG Hotel",3,184,184.0,7.8,16470,7800.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Hans Brinker Hostel Amsterdam,0,32,32.0,7.8,10213,1100.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Fletcher Hotel Amsterdam,4,144,144.0,7.3,3808,9400.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
"Holiday Inn Amsterdam - Arena Towers, an IHG Hotel",4,148,148.0,7.9,3395,7800.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Via Amsterdam,3,44,44.0,8.1,17055,6600.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
easyHotel Amsterdam Arena Boulevard,0,161,161.0,7.3,7536,7500.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Ruby Emma Hotel Amsterdam,4,142,142.0,8.6,6398,4300.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Novotel Amsterdam City,4,196,196.0,8.2,6681,4400.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Canal House,4,358,358.0,8.9,668,600.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
citizenM Amsterdam South,4,222,222.0,8.6,4392,3600.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Mercure Amsterdam City Hotel,4,117,117.0,8.3,4043,4400.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Leonardo Hotel Amsterdam City Center,4,103,103.0,7.4,2388,1600.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Hotel Fine Harmony,3,130,130.0,7.9,1577,800.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Courtyard by Marriott Amsterdam Arena Atlas,4,400,400.0,8.2,2985,7900.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Leonardo Royal Hotel Amsterdam,4,142,142.0,8.2,7792,4800.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Travel Hotel Amsterdam,2,78,78.0,6.5,2013,350.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Hotel Hortus,0,86,86.0,8.0,3304,1300.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Pension Homeland,0,130,130.0,8.7,3525,1600.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Hotel & Wellness Zuiver,3,213,213.0,8.3,4198,5400.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Durty Nelly's Inn,0,55,55.0,8.3,5478,250.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Four Elements Hotel,4,145,145.0,8.2,5888,7900.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Hotel Old Quarter,2,132,132.0,7.4,3510,500.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Generator Amsterdam,3,39,39.0,7.8,5161,2200.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Park Inn by Radisson Amsterdam City West,4,191,191.0,8.0,19959,3900.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Catalonia Vondel Amsterdam,4,212,212.0,8.4,133,1500.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Motel One Amsterdam-Waterlooplein,3,166,166.0,8.7,6219,1000.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Hotel Jakarta Amsterdam,4,237,237.0,9.0,7046,2100.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
The Social Hub Amsterdam City,4,138,138.0,8.4,8149,2400.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
INNSiDE by Meliá Amsterdam,4,231,231.0,8.6,6041,4000.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Mercure Hotel Amsterdam West,4,149,149.0,7.4,2474,6500.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
nhow Amsterdam Rai,4,262,262.0,9.0,10997,3800.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Klavergeluk,3,131,131.0,9.3,127,3400.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
"Holiday Inn Express Amsterdam - North Riverside, an IHG Hotel",3,198,198.0,8.3,13218,2200.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Bilderberg Garden Hotel,5,173,173.0,7.7,1972,2700.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Hostelle - women only hostel Amsterdam,0,44,44.0,8.4,5176,7600.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Park Plaza Victoria Amsterdam,4,321,321.0,8.5,9219,600.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Hotel Nes,3,183,183.0,8.1,3423,600.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
"Holiday Inn Express Amsterdam - South, an IHG Hotel",3,215,215.0,8.0,2953,5500.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
The Social Hub Amsterdam West 4 star,4,139,139.0,8.4,2746,3800.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Inntel Hotels Amsterdam Centre,4,259,259.0,8.2,5453,400.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Leonardo Hotel Amsterdam Rembrandtpark,4,147,147.0,8.1,8948,3400.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
NH City Centre Amsterdam,4,241,241.0,8.2,4919,450.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Hotel Washington,2,110,110.0,7.2,2598,2100.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Leonardo Boutique Museumhotel,4,194,194.0,7.7,3471,1400.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Mercure Amsterdam Sloterdijk Station,4,322,322.0,8.4,5013,4300.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
"Radisson Blu Hotel, Amsterdam City Center",4,347,347.0,8.4,7282,400.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
Hotel Arena,4,205,205.0,8.1,2993,2000.0,True,True,Amsterdam,2025-05-11 21:06:19.294340,1,0
